Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1753946    0.484    0.000    0.484    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/classes/graph.py:1894(bunch_iter)
   598860    0.250    0.000    0.379    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/classes/graph.py:388(__iter__)
     3327    0.005    0.000    0.336    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/classes/function.py:329(subgraph)
     3339    0.020    0.000    0.332    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/classes/graph.py:1649(subgraph)
     6654    0.010    0.000    0.254    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     3327    0.244    0.000    0.244    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/util/local_optimization.py:39(<listcomp>)
   598860    0.235    0.000    0.235    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/classes/reportviews.py:695(<listcomp>)
     6654    0.017    0.000    0.230    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/numpy/core/fromnumeric.py:52(_wrapfunc)
     3339    0.081    0.000    0.222    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/classes/filters.py:51(__init__)
   556226    0.211    0.000    0.211    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/classes/coreviews.py:265(__init__)
     6654    0.033    0.000    0.209    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/numpy/core/fromnumeric.py:39(_wrapit)
     3327    0.010    0.000    0.170    0.000 <__array_function__ internals>:2(argmin)
     3327    0.009    0.000    0.152    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/numpy/core/fromnumeric.py:1195(argmin)
     6654    0.005    0.000    0.142    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/numpy/core/_asarray.py:14(asarray)
   608878    0.140    0.000    0.140    0.000 {built-in method builtins.hasattr}
     6654    0.137    0.000    0.137    0.000 {built-in method numpy.array}
   598874    0.130    0.000    0.130    0.000 {built-in method builtins.iter}
     3327    0.119    0.000    0.119    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/util/local_optimization.py:42(<listcomp>)
     3327    0.005    0.000    0.101    0.000 <__array_function__ internals>:2(argmax)
     3327    0.004    0.000    0.091    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/numpy/core/fromnumeric.py:1114(argmax)
   602199    0.088    0.000    0.088    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/classes/graph.py:1439(is_multigraph)
   598860    0.084    0.000    0.084    0.000 {method 'items' of 'dict' objects}
     3339    0.034    0.000    0.079    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/classes/graphviews.py:75(subgraph_view)
        1    0.000    0.000    0.023    0.023 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/util/graph.py:49(generate_planted_independent_set_graph)
        1    0.001    0.001    0.023    0.023 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/util/graph.py:24(generate_planted_subset_graph)
     3327    0.023    0.000    0.023    0.000 {method 'argmin' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.022    0.022 <decorator-gen-604>:1(gnp_random_graph)
        1    0.000    0.000    0.022    0.022 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/utils/decorators.py:453(_random_state)
        1    0.006    0.006    0.022    0.022 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/generators/random_graphs.py:113(gnp_random_graph)
     3340    0.018    0.000    0.021    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/classes/graph.py:290(__init__)
     3339    0.005    0.000    0.017    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/classes/graph.py:1365(degree)
     3339    0.016    0.000    0.016    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/classes/function.py:161(freeze)
     8025    0.010    0.000    0.013    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/classes/graph.py:820(add_edge)
     3339    0.009    0.000    0.011    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/classes/reportviews.py:344(__init__)
     3327    0.008    0.000    0.008    0.000 {method 'argmax' of 'numpy.ndarray' objects}
     3339    0.007    0.000    0.008    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/classes/coreviews.py:311(__iter__)
    13310    0.007    0.000    0.007    0.000 {built-in method builtins.getattr}
    11545    0.004    0.000    0.004    0.000 {method 'update' of 'dict' objects}
     8910    0.004    0.000    0.004    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/classes/coreviews.py:317(<genexpr>)
     3339    0.004    0.000    0.004    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/classes/coreviews.py:303(__init__)
     3346    0.003    0.000    0.003    0.000 {method 'add' of 'set' objects}
       25    0.001    0.000    0.003    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/random.py:286(sample)
     8910    0.002    0.000    0.002    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/classes/coreviews.py:278(<genexpr>)
     6676    0.002    0.000    0.002    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/classes/graph.py:1443(is_directed)
     3339    0.002    0.000    0.002    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/classes/reportviews.py:351(__call__)
    17650    0.002    0.000    0.002    0.000 {method 'random' of '_random.Random' objects}
     1136    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/random.py:224(_randbelow)
     3327    0.001    0.000    0.001    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/numpy/core/fromnumeric.py:1191(_argmin_dispatcher)
     8025    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
        1    0.001    0.001    0.001    0.001 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/classes/graph.py:513(add_nodes_from)
     3327    0.001    0.000    0.001    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/numpy/core/fromnumeric.py:1110(_argmax_dispatcher)
        1    0.001    0.001    0.001    0.001 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/classes/graph.py:1008(remove_edges_from)
        1    0.000    0.000    0.000    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/util/storage.py:9(store)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.print}
       54    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
     1622    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
       50    0.000    0.000    0.000    0.000 /usr/local/bin/../../../Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/abc.py:137(__instancecheck__)
       50    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
    33/17    0.000    0.000    0.000    0.000 /usr/local/bin/../../../Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/abc.py:141(__subclasscheck__)
    33/17    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       12    0.000    0.000    0.000    0.000 {method 'intersection' of 'set' objects}
     1136    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _pickle.dump}
       14    0.000    0.000    0.000    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/classes/graph.py:656(nodes)
       12    0.000    0.000    0.000    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/util/local_search_results.py:43(add_results)
        1    0.000    0.000    0.000    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/util/local_search_results.py:4(__init__)
       23    0.000    0.000    0.000    0.000 {built-in method math.log}
       26    0.000    0.000    0.000    0.000 {built-in method math.ceil}
       14    0.000    0.000    0.000    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/classes/reportviews.py:176(__init__)
       14    0.000    0.000    0.000    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/classes/reportviews.py:183(__iter__)
       15    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        1    0.000    0.000    0.000    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/click/core.py:401(__exit__)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/random.py:97(seed)
       16    0.000    0.000    0.000    0.000 /usr/local/bin/../../../Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/_collections_abc.py:302(__subclasshook__)
        2    0.000    0.000    0.000    0.000 ./experiment:43(planted_ind_set_size)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/copyreg.py:96(_slotnames)
        1    0.000    0.000    0.000    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/classes/function.py:56(nodes)
       24    0.000    0.000    0.000    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/util/local_search_results.py:58(get_percent_complete)
        1    0.000    0.000    0.000    0.000 ./experiment:54(k_range)
        1    0.000    0.000    0.000    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/util/local_search_results.py:92(verify_bounds)
        1    0.000    0.000    0.000    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/click/globals.py:33(pop_context)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/contextlib.py:116(__exit__)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x10295ff28}
       17    0.000    0.000    0.000    0.000 /usr/local/bin/../../../Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/_collections_abc.py:392(__subclasshook__)
        1    0.000    0.000    0.000    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/click/core.py:245(__init__)
        1    0.000    0.000    0.000    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/click/core.py:396(__enter__)
        1    0.000    0.000    0.000    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/utils/misc.py:378(create_py_random_state)
        1    0.000    0.000    0.000    0.000 {method 'difference' of 'set' objects}
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/contextlib.py:107(__enter__)
