,36,46,56,66,76,86,96,106,116,126,136,146,156,166,176,186,196,206,216,226,236,246,256,266,276,286,296,306,316,326,336,346,356,366,376,386,396,406,416,426,436,446,456,466,476,486,496,506,516,526,536,546,556,566,576,586,596,606,616,626,636
0,0.0,0.25,0.25,0.0,0.5,0.75,0.25,1.75,0.25,0.5,0.5,0.5,0.75,1.25,2.75,1.0,1.0,1.25,1.25,0.25,0.75,3.5,0.5,0.0,2.75,1.75,1.25,1.75,0.75,1.0,3.0,1.25,2.25,3.0,1.25,3.75,3.75,1.75,5.0,1.5,3.5,0.25,1.5,2.5,11.75,16.0,4.75,3.0,2.75,5.0,9.5,2.0,0.5,1.75,3.5,7.25,9.5,4.5,10.75,6.0,7.5
10,36.0,46.0,56.0,64.0,36.75,64.0,64.0,49.75,49.0,50.0,34.0,49.5,38.5,34.0,64.0,49.75,25.0,35.75,22.0,49.25,25.75,32.5,64.0,27.25,49.5,18.0,32.75,19.5,38.0,43.0,16.5,20.25,48.5,50.0,30.0,31.5,33.5,46.5,31.25,32.5,22.0,46.25,29.25,22.5,48.75,16.75,26.75,24.25,19.5,29.25,26.25,18.25,28.25,16.0,16.25,27.5,22.75,27.75,20.25,29.25,30.0
20,36.0,46.0,56.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.75,64.0,64.0,63.25,63.5,63.5,63.75,63.0,63.0,63.75,63.75,57.5,63.5,63.0,63.0,62.25,51.0,58.25,62.75,54.75,59.0,60.75,60.5,58.5,61.0,58.25,59.5,56.5,58.0,58.75,47.25,54.75,59.5,57.5,52.75,45.25,48.25,53.0,42.75,45.25,56.75
30,29.5,46.0,56.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.75,63.5,63.75,63.75,63.75,63.75,63.5,63.75,63.5,62.75,63.5,63.75,63.5,63.0,61.5,62.5,63.0,62.0,62.75,60.75,61.25,62.25,62.0,57.25,60.5,61.5,58.25,59.0,60.25,60.5,59.75,60.5,58.5,60.25,57.75,59.25,60.75
