,36,46,56,66,76,86,96,106,116,126,136,146,156,166,176,186,196,206,216,226,236,246,256,266,276,286,296,306,316,326,336,346,356,366,376,386,396,406,416,426,436,446,456,466,476,486,496,506,516,526,536,546,556,566,576,586,596,606,616,626,636
0,13.5,18.0,20.5,23.5,24.0,28.25,29.25,33.25,35.5,37.5,37.75,42.5,42.25,40.5,48.75,50.0,50.5,50.75,54.25,56.75,56.75,61.75,62.25,60.0,67.25,69.0,69.0,71.5,74.5,80.75,74.0,76.0,78.75,81.0,78.25,73.5,83.25,89.75,84.25,89.0,83.75,89.75,89.0,90.5,80.25,89.75,94.25,92.75,100.25,97.5,103.0,100.75,105.5,105.5,102.5,107.75,112.75,109.5,104.25,113.0,107.25
10,36.0,46.0,56.0,64.0,43.5,64.0,64.0,56.25,56.5,60.5,52.25,58.0,52.75,56.5,64.0,59.75,52.0,59.75,60.75,61.0,52.25,57.0,64.0,56.25,62.0,63.0,67.5,59.75,67.25,61.75,69.75,69.5,69.0,66.0,65.75,67.75,74.75,70.25,69.0,70.25,81.0,68.0,72.5,70.25,64.0,96.25,69.0,86.0,88.0,75.25,83.5,83.25,68.25,89.75,98.75,83.0,87.25,78.25,88.0,80.5,85.5
20,36.0,46.0,56.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.75,64.0,64.0,63.25,63.5,63.5,63.75,63.0,63.0,63.75,63.75,57.5,63.5,63.0,63.0,62.25,67.25,58.25,62.75,54.75,59.0,60.75,60.5,58.5,61.0,58.25,59.5,56.5,58.0,58.75,65.75,54.75,59.5,57.5,52.75,69.5,55.75,53.5,60.0,65.75,56.75
30,29.5,46.0,56.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.75,63.5,63.75,63.75,63.75,63.75,63.5,63.75,63.5,62.75,63.5,63.75,63.5,63.0,61.5,62.5,63.0,62.0,62.75,60.75,61.25,62.25,62.0,57.25,60.5,61.5,58.25,59.0,60.25,60.5,59.75,60.5,58.5,60.25,57.75,59.25,60.75
